Lokacija,Cena [€],Čas odplačevanja,Velikost [m2],Tip oglasa,Tip zgradbe,Stanje
LJ. VIČ,700.0,Mesec,52.2,Oddaja,Stanovanje,Novo
LJ. BEŽIGRAD,185000.0,Enkratno,43.3,Prodaja,Stanovanje,Novo
LJ. BEŽIGRAD,185000.0,Enkratno,43.3,Prodaja,Stanovanje,Novo
"TABOR, CENTER",1200.0,Mesec,70.0,Oddaja,Stanovanje,Novo
VIŽMARJE,1100.0,Mesec,250.0,Oddaja,Hiša,Novo
SAVSKO NASELJE,240000.0,Enkratno,62.45,Prodaja,Stanovanje,Novo
"LJ. CENTER, KRATKOROČNO 1 ALI 2 MESECA",1200.0,Mesec,75.0,Oddaja,Stanovanje,Novo
LJ. BEŽIGRAD,800.0,Mesec,75.0,Oddaja,Stanovanje,Novo
NOVE JARŠE,249000.0,Enkratno,62.3,Prodaja,Stanovanje,Novo
"LJ. BEŽIGRAD, GLAVARJEVA REZIDENCA",248500.0,Enkratno,49.97,Prodaja,Stanovanje,Novo
DRAVLJE,360000.0,Enkratno,161.4,Prodaja,Hiša,Novo
LJ. MOSTE,240.0,Mesec,17.0,Oddaja,Stanovanje,Novo
"RUDNIK, LJ.",248000.0,Enkratno,52.0,Prodaja,Stanovanje,Novo
"NOVE FUŽINE, BRODARJEV TRG",700.0,Mesec,44.0,Oddaja,Stanovanje,Novo
"NOVE FUŽINE, OSENJAKOVA ULICA",75.0,Mesec,12.0,Oddaja,Garaža,Novo
NOVE FUŽINE,24000.0,Enkratno,13.0,Prodaja,Garaža,Novo
"LJ. CENTER, VOJKOVA CESTA",650.0,Mesec,57.4,Oddaja,Stanovanje,Novo
JARŠE,400.0,Mesec,43.0,Oddaja,Stanovanje,Novo
LJ. CENTER,510.0,Mesec,30.0,Oddaja,Stanovanje,Novo
SP. ŠIŠKA,90.0,Mesec,11.8,Oddaja,Garaža,Novo
PRŽAN,240.0,Mesec,14.0,Oddaja,Poslovni prostor,Novo
